Rk,Year,Conf,W,L,T,Pct,W,L,T,Pct,SRS,SOS,AP Pre,AP High,AP Post,CFP High,CFP Final,Coach(es),Bowl,Notes
78,1947,SWC,10,1,0,0.909,5,1,0,0.833,28.75,11.3,,3,5,,,Blair Cherry (10-1),Sugar Bowl (W),
79,1946,SWC,8,2,0,0.8,4,2,0,0.667,16.06,3.46,,1,15,,,Dana Bible (8-2),,
80,1945,SWC,10,1,0,0.909,5,1,0,0.833,9.65,-2.71,,9,10,,,Dana Bible (10-1),Cotton Bowl (W),
81,1944,SWC,5,4,0,0.556,3,2,0,0.6,9.88,4.88,,,,,,Dana Bible (5-4),,
82,1943,SWC,7,1,1,0.833,5,0,0,1,4.67,-9.78,,10,14,,,Dana Bible (7-1-1),Cotton Bowl (T),
83,1942,SWC,9,2,0,0.818,5,1,0,0.833,12.27,1.36,,8,11,,,Dana Bible (9-2),Cotton Bowl (W),
84,1941,SWC,8,1,1,0.85,4,1,1,0.75,26.32,7.92,,1,4,,,Dana Bible (8-1-1),,
85,1940,SWC,8,2,0,0.8,4,2,0,0.667,16.35,7.45,,12,,,,Dana Bible (8-2),,
86,1939,SWC,5,4,0,0.556,3,3,0,0.5,4.99,6.33,,,,,,Dana Bible (5-4),,
87,1938,SWC,1,8,0,0.111,1,5,0,0.167,-3.48,8.07,,,,,,Dana Bible (1-8),,
88,1937,SWC,2,6,1,0.278,1,5,0,0.167,6.7,11.03,,,,,,Dana Bible (2-6-1),,
89,1936,SWC,2,6,1,0.278,1,5,0,0.167,4.66,11.21,,,,,,Jack Chevigny (2-6-1),,
90,1935,SWC,4,6,0,0.4,1,5,0,0.167,4.72,8.42,,,,,,Jack Chevigny (4-6),,
91,1934,SWC,7,2,1,0.75,4,1,1,0.75,12.84,6.74,,,,,,Jack Chevigny (7-2-1),,
92,1933,SWC,4,5,2,0.455,2,3,1,0.417,2.85,3.76,,,,,,Clyde Littlefield (4-5-2),,
93,1932,SWC,8,2,0,0.8,5,1,0,0.833,13.72,1.92,,,,,,Clyde Littlefield (8-2),,
94,1931,SWC,6,4,0,0.6,2,3,0,0.4,8.05,2.95,,,,,,Clyde Littlefield (6-4),,
95,1930,SWC,8,1,1,0.85,4,1,0,0.8,14.38,0.58,,,,,,Clyde Littlefield (8-1-1),,
96,1929,SWC,5,2,2,0.667,2,2,2,0.5,9.62,0.51,,,,,,Clyde Littlefield (5-2-2),,
97,1928,SWC,7,2,0,0.778,5,1,0,0.833,10.58,2.25,,,,,,Clyde Littlefield (7-2),,
98,1927,SWC,6,2,1,0.722,2,2,1,0.5,6.15,-1.08,,,,,,Clyde Littlefield (6-2-1),,
99,1926,SWC,5,4,0,0.556,2,2,0,0.5,8.18,0.73,,,,,,Edward Stewart (5-4),,
100,1925,SWC,6,2,1,0.722,2,1,1,0.625,9.41,-0.7,,,,,,Edward Stewart (6-2-1),,
101,1924,SWC,5,3,1,0.611,2,3,0,0.4,3.78,-0.33,,,,,,Edward Stewart (5-3-1),,
102,1923,SWC,8,0,1,0.944,2,0,1,0.833,15.46,-1.76,,,,,,Edward Stewart (8-0-1),,
103,1922,SWC,7,2,0,0.778,2,1,0,0.667,12.42,-0.8,,,,,,Berry Whitaker (7-2),,
104,1921,SWC,6,1,1,0.813,1,0,1,0.75,12.54,-2.58,,,,,,Berry Whitaker (6-1-1),,
105,1920,SWC,9,0,0,1,5,0,0,1,14.1,-6.67,,,,,,Berry Whitaker (9-0),,
106,1919,SWC,6,3,0,0.667,3,2,0,0.6,7.05,-3.5,,,,,,William Juneau (6-3),,
107,1918,SWC,9,0,0,1,4,0,0,1,16.78,-2.22,,,,,,William Juneau (9-0),,
108,1917,SWC,4,4,0,0.5,2,4,0,0.333,8.06,3.81,,,,,,William Juneau (4-4),,
109,1916,SWC,7,2,0,0.778,6,1,0,0.857,12.95,2.06,,,,,,Conrad Van Gent (7-2),,
110,1915,SWC,6,3,0,0.667,2,2,0,0.5,14.93,4.6,,,,,,Dave Allerdice (6-3),,
111,1914,Ind,8,0,0,1,,,,,18.74,-4.26,,,,,,Dave Allerdice (8-0),,
112,1913,Ind,7,1,0,0.875,,,,,6.65,-4.85,,,,,,Dave Allerdice (7-1),,
113,1912,Ind,7,1,0,0.875,,,,,6.82,-6.05,,,,,,Dave Allerdice (7-1),,
114,1911,Ind,5,2,0,0.714,,,,,10.53,5.1,,,,,,Dave Allerdice (5-2),,
115,1910,Ind,5,2,1,0.688,,,,,9.02,1.27,,,,,,Bill Wasmund (6-2),,record adjusted to 6-2-0 by NCAA
116,1909,Ind,4,3,1,0.563,,,,,8.24,3.11,,,,,,Dexter Draper (4-3-1),,
117,1908,Ind,5,4,0,0.556,,,,,-1.2,-3.76,,,,,,W.E. Metzenthin (5-4),,
118,1907,Ind,6,1,1,0.813,,,,,11.81,1.06,,,,,,W.E. Metzenthin (6-1-1),,
119,1906,Ind,9,1,0,0.9,,,,,9.82,-4.58,,,,,,H.R. Schenker (9-1),,
120,1905,Ind,5,4,0,0.556,,,,,-2.4,-4.29,,,,,,Ralph Hutchinson (5-4),,
121,1904,Ind,6,2,0,0.75,,,,,14,0,,,,,,Ralph Hutchinson (6-2),,
122,1903,Ind,5,1,2,0.75,,,,,6.18,-3.7,,,,,,Ralph Hutchinson (5-1-2),,
123,1902,Ind,6,3,1,0.65,,,,,0.7,-3.7,,,,,,J.B. Hart (6-3-1),,
